CATEGORIA,CATEGORIA2,SEGMENTO,Mes,FATURAMENTO,MARGEM
ALHO,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,13231.009999999997,0.43
ALHO,TUBERCULOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,8066.939999999998,0.43
ALIMENTO,ACUCARES E CONFEITARIA,ALIMENTOS INDUSTRIALIZADOS,Fev,4392.530000000001,-0.92
ALIMENTO,ACUCARES E CONFEITARIA,ALIMENTOS INDUSTRIALIZADOS,Jan,1216.4399999999996,-1.13
ALIMENTO,ACUCARES E CONFEITARIA,ALIMENTOS INDUSTRIALIZADOS,Mar,4808.08,-1.11
ALIMENTO,ACUCARES E CONFEITARIA,FLV NACIONAIS,Fev,110.0,-0.91
AMEIXA,FRUTAS/FRUTOS,FLV IMPORTADOS,Abr,15383.48,0.41
AMEIXA,FRUTAS/FRUTOS,FLV IMPORTADOS,Jan,20150.0,0.14
AMEIXA,FRUTAS/FRUTOS,FLV IMPORTADOS,Mar,437207.79999999993,0.3
AMEIXA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,115247.22,0.18
AMEIXA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,516431.8500000001,0.27
AMEIXA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,570694.9199999995,0.17
AMEIXA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,798462.3500000003,0.23
AMEIXA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Fev,232.0,0.46
AMEIXA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,41.0,0.43
AMEIXA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,300.8,0.6
AMEIXA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,250.0,0.65
AMEIXA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,1417.5,0.06
AMEIXA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,95.0,0.08
AMENDOIM,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,10811.2,0.41
AMENDOIM,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,47671.09,0.45
AMENDOIM,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,46220.490000000005,0.49
AMENDOIM,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,60513.58,0.41
AMENDOIM,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,105.0,0.4
AMENDOIM,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,215.0,0.3
AMORA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,177.5,0.31
AMORA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,237.0,0.55
AMORA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,60.0,-0.07
AMORA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Fev,444.61,0.3
AMORA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,591.94,0.54
AMORA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,-47.0,0.62
ASPARGO,VERDURAS,FLV NACIONAIS,Abr,963.8,0.31
ASPARGO,VERDURAS,FLV NACIONAIS,Fev,1617.0,0.44
ASPARGO,VERDURAS,FLV NACIONAIS,Jan,1569.0,0.04
ASPARGO,VERDURAS,FLV NACIONAIS,Mar,3674.0,0.33
ASPARGO,VERDURAS,SEGMENTO ORGANICOS,Jan,-34.32,0.07
ATEMOIA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,9425.46,-0.04
