CODFILIAL,SEGMENTO,FATURAMENTO,MARGEM,CLIENTE,Mes
02,FLV NACIONAIS,2780.16,20.3945582268646%,ASSONI,Jan
24,FLV NACIONAIS,2778,23.8491270698344%,MERCADO BOM GOSTO LT,Mar
11,FLV NACIONAIS,2777,42.2342211019085%,CEREJEIRA LOJA 06,Jan
04,FLV NACIONAIS,2773.4,30.2493632364607%,MERCADO E ACOUGUE ME,Jan
11,FLV NACIONAIS,2771,11.9961436304583%,ESSENCIA VERDE,Fev
09,FLV NACIONAIS,2769.44,-126.842756658386%,SUPERMERCADOS MARINI,Abr
14,ALIMENTOS INDUSTRIALIZADOS,2768.77,53.8208551089473%,MERCADO GRIZON,Jan
04,FLV NACIONAIS,2767.65,27.9695532310805%,RESTAURANTE TOK DE C,Mar
04,FLV NACIONAIS,2765.5,-12.9988743446031%,SIQUEIRA ORTIFRUTI,Mar
04,FLV NACIONAIS,2761.9,35.3656580614794%,BUDZINSKI BUDZINSKI,Mar
09,FLV NACIONAIS,2760.15,30.0204967121352%,DO PORTUGA COMERCIO,Mar
04,FLV NACIONAIS,2757.4,31.2204827010952%,ADAIR DUARTE,Jan
14,ALIMENTOS INDUSTRIALIZADOS,2757.1,50.7479913677415%,MATIAS SUPERMERCADO,Fev
05,FLV NACIONAIS,2755.4,32.7981251360964%,CASA DE REPOUSO ACON,Jan
05,FLV NACIONAIS,2754.8,6.71073633597113%,BRASAO XANXERE,Abr
05,FLV NACIONAIS,2754.5,45.1464091486658%,RESTAURANTE TABAJARA,Mar
04,FLV NACIONAIS,2753.65,33.0017336989087%,REST CAMPO ALTO,Fev
11,FLV NACIONAIS,2750.8,30.0310669623382%,BOM PORTO,Jan
05,FLV NACIONAIS,2750,29.1886363636364%,F RODRIGUES FRUTAS,Jan
11,FLV NACIONAIS,2750,18.8434149090909%,RI COM  DE FRUTAS,Abr
11,FLV NACIONAIS,2750,6.32517636363635%,HORTIFRUTIG CAPITAL,Abr
04,SEGMENTO ORGANICOS,2746.5,33.8944675040961%,ORGANICOS IN BOX,Mar
11,FLV NACIONAIS,2745.4,18.3044550885117%,SUPER ULRICH,Abr
04,FLV NACIONAIS,2744.79,34.8597757934123%,RESTAURANTE PAVANELL,Jan
14,ALIMENTOS INDUSTRIALIZADOS,2740.5,46.7082463054187%,DALPIAN DISTRIBUIDOR,Jan
11,FLV NACIONAIS,2739.5,17.3902544259901%,VHC COMERCIO DE FRUT,Fev
04,FLV NACIONAIS,2736.7,32.2025242079877%,MERCADO SANTIAGO,Fev
21,FLV NACIONAIS,2736.2,26.8592708866311%,GELADAO MERCADO,Jan
09,FLV NACIONAIS,2732.54,29.637999443741%,MERCADO PEROLA,Fev
02,FLV NACIONAIS,2731.5,22.4066058941973%,SUP OURO VERDE,Abr
14,ALIMENTOS INDUSTRIALIZADOS,2731.01,44.4072775273617%,SUPERMERCADO SANTARE,Jan
11,FLV NACIONAIS,2730.98,19.422734329801%,SUPERM. STROPARO,Jan
12,FLV IMPORTADOS,2730,20.693152014652%,SACOLAO CASTELO,Abr
15,FLV NACIONAIS,2729,15.5582378160498%,AVI DISTRIBUIDORA,Abr
05,FLV NACIONAIS,2725.95,34.7344811900438%,BAR E MERCADO TATIAN,Fev
04,FLV NACIONAIS,2725.02,30.6812140828324%,MERCADO PIASECKI,Mar
12,FLV IMPORTADOS,2725,15.0927273394496%,HORTIFRUTI MARGARIDA,Mar
04,SEGMENTO ORGANICOS,2723.9,45.7118572634825%,SUPER UBIALLI,Mar
16,FLV NACIONAIS,2723.3,14.4156767051497%,MACA VERDE,Abr
09,FLV NACIONAIS,2721.07,35.8730899976847%,MERCADO BOM DIA,Jan
05,FLV NACIONAIS,2720.8,34.6750396942076%,RESTAURANTE BRASIL S,Fev
24,FLV NACIONAIS,2720,35.9561%,HORTIFRUTI BH,Jan
04,FLV NACIONAIS,2719.3,26.7716655021513%,ZILIO LEONARDI E CIA,Abr
04,FLV NACIONAIS,2718.05,33.1453019628042%,MARI RESTAURANTE,Mar
15,FLV NACIONAIS,2718,12.7550132450331%,SERBASE FOOD,Mar
04,FLV NACIONAIS,2716.05,31.4794204819499%,MINIMERCADO CICCHELE,Jan
04,FLV NACIONAIS,2714.59,47.1680331099724%,RESTAURANTE ENGENHO,Mar
05,FLV NACIONAIS,2709,34.6922310815799%,RESTAURANTE CANTO DA,Abr
15,FLV NACIONAIS,2708,26.3608345642541%,SUPERMERCADO PEDROSA,Mar
04,FLV NACIONAIS,2707.72,24.4018583900847%,MARLENE,Jan
05,FLV NACIONAIS,2703.6,31.7112131972185%,ASSOCIACAO CHAPECOEN,Abr
11,FLV NACIONAIS,2702,14.9546361954108%,PIEGEL PAES,Abr
04,FLV NACIONAIS,2701.1,35.66095812817%,AMI SERVICOS,Mar
15,FLV NACIONAIS,2700,43.8652854030501%,MUFFATO CAMBE NOVO,Jan
05,FLV NACIONAIS,2699.2,32.4702245109662%,PEIXARIA E CASA COLO,Mar
04,SEGMENTO ORGANICOS,2698.15,34.9669210384893%,HAMUD E HAMUD,Mar
11,FLV NACIONAIS,2698,10.0332297998517%,MINIPRECO SUPERMERCA,Jan
05,FLV NACIONAIS,2697.01,35.7736652811818%,63.755.994 CARINE DA,Jan
05,FLV NACIONAIS,2696.75,37.563316584778%,CENTER SUPERMERCADO,Fev
14,ALIMENTOS INDUSTRIALIZADOS,2695.5,52.1093682062697%,NORTE SUL SUPERMERCA,Mar
04,FLV NACIONAIS,2694.4,19.7901933640143%,VERDURAO REALEZA,Mar
05,FLV NACIONAIS,2694,31.2455051967335%,COMPRETUDO,Mar
11,FLV NACIONAIS,2693,14.6615399183067%,BOZA SANTA TEREZINHA,Mar
09,FLV NACIONAIS,2692.37,31.8956755572228%,SUPERMERCADO HIPOLIT,Fev
15,FLV NACIONAIS,2690,31.1364630340139%,MUFFATO TIRADENTES,Mar
02,FLV NACIONAIS,2689.69,23.1594481148385%,MIX FRIOS E FRUTAS,Abr
05,FLV NACIONAIS,2689.29,29.8362839262408%,MERCADO CORTESIA,Mar
04,FLV NACIONAIS,2688,31.829490327381%,POSTO SIVIERO,Mar
04,SEGMENTO ORGANICOS,2687.4,39.8282726799137%,MAKXIMO SUPERMERCADO,Jan
05,FLV NACIONAIS,2684.9,30.2311415695184%,COMERCIAL PARISENTI,Jan
02,FLV NACIONAIS,2684.6,28.527247262162%,SUPERMERCADO TIBURCI,Mar
05,FLV NACIONAIS,2684.4,32.3585769631948%,LUCIANA SILVA DOS AN,Abr
09,FLV NACIONAIS,2683.45,33.3755710000186%,IRINEU AVALOS 003276,Jan
14,ALIMENTOS INDUSTRIALIZADOS,2681.62,56.1767114654575%,DISTRIBOI,Mar
04,FLV NACIONAIS,2680.1,29.4076374015895%,BUDZINSKI BUDZINSKI,Fev
15,FLV NACIONAIS,2680,42.7662351594301%,COMPANHIA SULAMERICA,Abr
05,FLV NACIONAIS,2678.89,29.5970327262411%,MARAVILHA ALIMENTOS,Fev
09,FLV NACIONAIS,2675.59,28.2275232752403%,MERCADO LOCATELLI,Mar
09,FLV NACIONAIS,2670.85,24.9919007057678%,ACOUGUE AVENIDA,Abr
02,FLV NACIONAIS,2670.1,22.8989640837422%,SUPERMERCADO DO ADO,Fev
05,FLV NACIONAIS,2670.06,32.3101110087414%,BAGNARA,Fev
05,FLV NACIONAIS,2670,19.8435247191011%,SONARA PRECO BOM,Mar
11,FLV NACIONAIS,2670,58.6327108614232%,V. FERREIRA QUEIROZ,Fev
05,FLV NACIONAIS,2669.3,34.7016828381973%,JAQUELINE CANEPPELLE,Jan
23,FLV NACIONAIS,2668,17.7788497001499%,MERCADO BIG LAR,Jan
05,FLV NACIONAIS,2665.6,51.5478117496999%,JB MERCADO,Abr
04,FLV NACIONAIS,2664,21.6986989489489%,MERCADO CASAGRANDE,Jan
04,FLV NACIONAIS,2663.45,25.2742191518519%,MERCADO TREVO,Abr
04,FLV NACIONAIS,2661.95,37.0206596667856%,MARMITARIA TEMPEROS,Mar
04,FLV NACIONAIS,2661.85,28.5736825891767%,SUPERMERCADO OLANDA,Jan
11,FLV NACIONAIS,2660,16.4809973684211%,COMERCIO DE HORTIFRU,Jan
04,FLV NACIONAIS,2659.3,22.230899108788%,SUPERMERCADO MARION,Abr
09,FLV NACIONAIS,2659.25,25.2341002162264%,DK SUPERMERCADO,Mar
21,FLV NACIONAIS,2658.38,32.28615134029%,CASA DE CARNES PAGUE,Fev
09,FLV NACIONAIS,2658,22.8121188863807%,L P DISTRIBUIDORA,Abr
04,FLV NACIONAIS,2656.8,28.6918428184282%,MARCOS ANTONIO CAPPE,Jan
11,FLV NACIONAIS,2655,23.7998621468926%,KOTACHO,Jan
14,ALIMENTOS INDUSTRIALIZADOS,2653.91,53.075033818027%,MERCADO ARAUCARIA,Jan
05,FLV NACIONAIS,2653.8,31.9448048081996%,CENTER SUPERMERCADO,Mar
04,FLV NACIONAIS,2652.95,28.1812710379012%,SCARIOT,Abr
04,FLV NACIONAIS,2652.1,33.4514652539497%,AGRO COMERCIAL NATIV,Jan
02,FLV NACIONAIS,2652,6.73101206636502%,MM BATATEIRO,Jan
11,FLV NACIONAIS,2652,23.7610916289593%,SUPERMERCADO CHOPINZ,Fev
05,FLV NACIONAIS,2651.7,30.4243274126032%,MERCADO BERTOL,Jan
09,FLV NACIONAIS,2651.3,24.8933104514766%,SUPERMERCADO TRENTO,Mar
10,FLV NACIONAIS,2650,54.0759022298154%,ANGELONI LJ 13,Fev
12,FLV IMPORTADOS,2650,16.3835679245283%,SR COM DE FRUTAS E V,Mar
21,FLV NACIONAIS,2646.5,22.1523430946533%,BOM GOSTO SANTA ISAB,Jan
04,FLV NACIONAIS,2646.3,29.3918478630541%,MERCADO SALVADOR,Abr
11,FLV NACIONAIS,2645,24.2040737240076%,BGR FOODS ALIMENTOS,Mar
09,FLV NACIONAIS,2643.25,17.7733691478294%,C R RITTER MERCADO,Jan
14,ALIMENTOS INDUSTRIALIZADOS,2640.71,56.0598918472684%,BIERGARTEN,Mar
04,FLV NACIONAIS,2640.2,26.4908450117415%,GORDAO LANCHES,Fev
12,FLV IMPORTADOS,2640,22.8018590909091%,TC FRUTAS,Abr
24,FLV NACIONAIS,2640,28.2399386363636%,VERDURARIA NOVO HORI,Fev
23,FLV NACIONAIS,2638.79,17.1349050132826%,TABAJARA,Mar
09,FLV NACIONAIS,2637.74,34.4071720487993%,MERCADO QUEVEDO,Jan
05,FLV NACIONAIS,2637.3,29.3581769233686%,SUPERMERCADO POPIOLS,Abr
04,FLV NACIONAIS,2636.2,27.0852727410667%,CENTRAL LANCHES,Jan
14,ALIMENTOS INDUSTRIALIZADOS,2635.2,58.9327682908318%,MARGARETE ORLING,Fev
09,FLV NACIONAIS,2634.66,37.7094509348455%,MERCADO LUCATO,Fev
05,FLV NACIONAIS,2633.45,32.4767483719076%,NATAL COMERCIO,Fev
04,FLV NACIONAIS,2632.7,33.0572112280169%,MERCADO ECONOMIA,Fev
14,ALIMENTOS INDUSTRIALIZADOS,2631.96,52.1527162266904%,PENSO & PENSO,Fev
09,FLV NACIONAIS,2630.75,-62.7595594412239%,MARQUINHOS,Jan
05,FLV NACIONAIS,2630.4,26.8874270072993%,MERCADO PANISSON,Fev
09,FLV NACIONAIS,2629.72,36.0828457022041%,MERCADO TEIXEIRA,Jan
04,SEGMENTO ORGANICOS,2628.46,47.5055252345852%,COASUL - SAO JORGE,Mar
14,ALIMENTOS INDUSTRIALIZADOS,2628.41,47.7635977644279%,ALBERTI COMERCIO DE,Fev
05,FLV NACIONAIS,2627.1,30.9345270450306%,ALIPASSO DISTRIBUIDO,Mar
05,FLV NACIONAIS,2625.8,2.90547147535989%,COTRIEL,Mar
04,FLV NACIONAIS,2625.75,29.0152101304389%,EDER HEIDERICH DA SI,Jan
13,FLV NACIONAIS,2625.5,19.6115063797372%,SUPERMERCADOS SCHUTZ,Jan
09,FLV NACIONAIS,2624.86,27.7089094275504%,SUPER FLORENCA,Jan
09,FLV NACIONAIS,2624.4,29.1861092059137%,SPAGNOL E ANTUNES,Fev
24,FLV NACIONAIS,2624,28.7696166158537%,BOM GOSTO SANTA ISAB,Mar
21,FLV NACIONAIS,2623.5,32.1882271774347%,PARADASSO,Fev
05,FLV NACIONAIS,2622.49,25.9099889799389%,MERCADO FONTANA,Fev
14,ALIMENTOS INDUSTRIALIZADOS,2621.73,51.0294195054411%,SUPERMERCADO JARDIM,Jan
05,FLV NACIONAIS,2621.51,34.23390336104%,MARAVILHA ALIMENTOS,Jan
15,FLV NACIONAIS,2621,20.3749057611599%,TANGERINA HORTIFRUTI,Fev
11,FLV NACIONAIS,2619,20.5446712485682%,MERCADO OURO BRANCO,Jan
04,FLV NACIONAIS,2618.05,28.5469742747465%,CHURRASCARIA SAO JOR,Mar
02,FLV NACIONAIS,2618,10.0948919022154%,SUPERMERCADO TIBURCI,Fev
15,FLV NACIONAIS,2617,19.1091803591899%,ROSELI APARECIDA,Mar
09,FLV NACIONAIS,2616.09,28.5787572293002%,MERCADO CHAPECO,Fev
09,FLV NACIONAIS,2615.2,31.0803965279902%,LAR ITAIPULANDIA,Abr
02,FLV NACIONAIS,2615,25.5313594646272%,MORENO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,2614.14,46.3096157818633%,SUPER MARCIO,Jan
04,FLV NACIONAIS,2613.9,26.3523218179731%,ANMO COZINHA,Mar
04,FLV NACIONAIS,2612.95,26.9129298302685%,ELIANE CARDOSO,Fev
